Audience Segment,Creative Size,Creative Messaging,Location,App/URL,Exchange,Device Make,Impressions,Clicks,Viewable Impressions,Measurable Impressions,Total Conversions,Gross Cost
US » Reach » Propensity Models » Lifestyle » Charities » Contributes to Charities,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",commercialappeal.com,Google Ad Manager,Smartphone,10191,75,1243,8897,3,2365.914372
US » Reach » Propensity Models » Household Consumer Expenditures » Kitchen,320x50,Sign up Now - 10% Off,"San Francisco, California",culinaryhill.com,Google Ad Manager,Smartphone,10093,65,3901,9645,2,3105.283004
Online Behavior>United States>Finance » Financial Planning and Management>Asset and Portfolio Management,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",culturess.com,Google Ad Manager,Smartphone,9328,56,7102,8925,5,3408.076049
Online Behavior>United States>B2B » Occupation>OfficeManager,300x250,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",dafont.com,BidSwitch,Windows PC,24464,0,3275,21993,6,2959.114973
Online Behavior>United States>Intent » Shopping>CPG� Grocery,300x250,Subscribe Today - 10% Discount,"New York City, New York",dailybee.com,Google Ad Manager,Smartphone,8111,0,4346,6163,1,5000.761206
Online Behavior>United States>Intent » Auto Buyers » Car Make>Hyundai,320x50,10% Discount - Ends 6/1,"New York City, New York",daily-choices.com,OpenX,Smartphone,25532,140,15219,21497,9,6047.174109
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 18-54,320x50,Sign up Now - 10% Off,"Chicago, Illinois",daily-choices.com,PubMatic,Smartphone,28553,90,11390,23355,13,5573.112396
Telecommunications (Telco) » Subscribers,320x50,Sign up Today - 10% Off,"Tallahassee, Florida-Thomasville, Georgia",dailydot.com,Google Ad Manager,Smartphone,29393,70,3277,25959,19,2120.757698
Online Behavior>United States>Finance » Banking>ATMs and Branch Locations,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",dailyhodl.com,Xandr - Monetize SSP (AppNexus),Smartphone,39212,260,31317,37660,1,3621.417703
Online Behavior>United States>Intent » Travel>Accommodation » Hotels,300x50,10% Discount - Ends 6/1,"Nashville, Tennessee",dailymail.co.uk/news,Google Ad Manager,Smartphone,14137,44,9300,13110,8,6345.460338
Online Behavior>United States>Home and Garden>Homemaking and Interior Decor,300x250,10% Discount - Ends 6/1,"Los Angeles, California",dailymail.co.uk/news,Google Ad Manager,Smartphone,7921,50,4727,6513,11,5379.00144
US » Sociodemographic » P$YCLE Premier Lifestage » M2 Wealthy Achievers,320x50,10% Discount - Ends 6/1,"San Francisco, California",dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,11025,50,7974,10311,4,1657.159766
US » Brand Propensities » Health » Beauty and Cosmetics » Bare Escentuals Buyer Propensity,300x250,10% Discount - Ends 6/1,"Ft. Wayne, Indiana",dailymail.co.uk/tvshowbiz,PubMatic,Smartphone,14922,99,10713,13992,5,1578.876432
Mobile - US » Device Ownership » Smartphones » Huawei,300x250,Sign up Now - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,7427,0,4752,6566,1,1504.784161
Online Behavior>United States>Internet and Telecom>Email and Messaging,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",dexerto.com,OpenX,Smartphone,14553,47,6119,12505,11,6968.00047
Online Behavior>United States>Travel>Car Rental and Taxi Services,300x50,Subscribe Today - 10% Discount,"Los Angeles, California",dictionary.com,PubMatic,Smartphone,10350,66,723,8720,14,6774.202636
Mobile - US » Food » Restaurant » Style » Desserts,300x250,Sign up Today - 10% Off,"New York City, New York",dictionary.com,BidSwitch,Apple PC,18028,89,1851,14926,24,1572.24171
US » AUTO » Primary Vehicle » New or Used » New,300x250,Sign up Today - 10% Off,"Los Angeles, California",dinneratthezoo.com,Google Ad Manager,Smartphone,12391,40,5756,11636,4,3069.123483
US » B2B » B2B Decision Maker Responsibilities » Advertising Services,320x50,Sign up Now - 10% Off,"Grand Rapids-Kalamazoo, Michigan",dmv.org,BidSwitch,Smartphone,14917,10,3065,13109,3,1583.537104
Online Behavior>United States>Intent » Travel>Cruises,300x50,Subscribe Today - 10% Discount,"San Francisco, California",doctoreport.com,Index Exchange,Smartphone,9560,98,3076,6252,17,6420.218123
US » B2B » B2B Decision Maker Responsibilities » Accounting or Tax Services,320x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",doodle.com,Google Ad Manager,Smartphone,12606,74,8332,11170,5,2002.537989
Online Behavior>United States>Beauty and Fitness>Cosmetology and Beauty Professionals,320x50,Subscribe Today - 10% Discount,"New York City, New York",dotesports.com,Xandr - Monetize SSP (AppNexus),Smartphone,18022,30,10618,16643,15,4051.158749
Online Behavior>United States>Finance » Insurance>Life Insurance,320x50,Subscribe Today - 10% Discount,"Los Angeles, California",drugs.com,Magnite DV+,Smartphone,18401,66,11051,17202,26,6571.491552
Online Behavior>United States>Food and Drink>Food and Grocery Retailers,320x50,Subscribe Today - 10% Discount,"Ft. Wayne, Indiana",drugs.com,Google Ad Manager,Smartphone,18412,140,5668,16711,12,5244.34174
Online Behavior>United States>Intent » Shopping>Drug Stores » CVS,300x250,Sign up Now - 10% Off,"San Francisco, California",drugs.com,BidSwitch,Smartphone,11697,64,6761,10783,3,5218.070231
US » Composite Segment » Women Born to Shop,320x50,Subscribe Today - 10% Discount,"San Francisco, California",drugs.com,Magnite DV+,Smartphone,12220,54,7133,11331,3,1478.392247
Real Estate » Rent Amount » Sensible  Rentals ($1000-$3000),300x250,10% Discount - Ends 6/1,"Los Angeles, California",drugs.com,Smart RTB+ (Smartadserver),Windows PC,49415,144,24692,45565,3,1471.175728
Online Behavior>United States>Finance » Credit and Lending>Loans,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,1100942,2984,629973,1041225,147,7979.348589
Online Behavior>United States>Finance » Banking>Money Transfer and Wire Services,320x50,Subscribe Today - 10% Discount,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,221720,499,35178,196583,69,7890.221963
Online Behavior>United States>Travel>Tourist Destinations,300x250,Sign up Now - 10% Off,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,325152,854,138319,300133,55,7887.612662
Online Behavior>United States>Finance » Investing>Stocks and Bonds,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",ebay.com,Yahoo Exchange,Smartphone,680912,2000,388915,648524,39,7814.262494
Online Behavior>United States>Life Event>New Parent,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",ebay.com,Xandr - Monetize SSP (AppNexus),Smartphone,569171,1354,343050,541133,78,7129.633287
Online Behavior>United States>Hobbies and Leisure>Outdoors » Hiking and Camping,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",ebay.com,Magnite DV+,Apple PC,27592,80,10901,24980,17,6809.356022
Online Behavior>United States>Intent » Financial Intent>Loans and Credit,320x50,Sign up Now - 10% Off,"Savannah, Georgia",ebay.com,Yieldmo,Smartphone,83957,185,1420,69246,19,6651.51451
Online Behavior>United States>Real Estate>Homeowner,300x250,10% Discount - Ends 6/1,"New York City, New York",ebay.com,Google Ad Manager,Smartphone,161178,492,70181,150003,11,5892.48218
Online Behavior>United States>Arts and Entertainment>Events and Listings » Film Festivals,320x50,Sign up Now - 10% Off,"Los Angeles, California",ebay.com,Google Ad Manager,Smartphone,405957,874,204189,385654,16,5864.126493
Online Behavior>United States>Travel>Cruises and Charters,300x250,Sign up Now - 10% Off,"Los Angeles, California",ebay.com,Magnite DV+,Apple PC,161222,500,66740,149743,19,5767.797381
Online Behavior>United States>B2B » Occupation>Student,300x250,10% Discount - Ends 6/1,"San Francisco, California",ebay.com,Google Ad Manager,Windows PC,39163,113,16254,36526,15,5692.765813
Online Behavior>United States>Online Communities>File Sharing and Hosting,320x50,Sign up Today - 10% Off,"San Francisco, California",ebay.com,Index Exchange,Smartphone,39794,101,17539,37664,12,5328.524514
Online Behavior>United States>Autos and Vehicles » Brands>LandRover,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",ebay.com,Google Ad Manager,Apple PC,104538,347,49049,97093,2,5266.424233
Online Behavior>United States>Food and Drink>Food and Grocery Delivery,300x250,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,262807,684,109871,236426,12,5150.468923
Online Behavior>United States>Sports>Sports League » NHL,300x250,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Index Exchange,Smartphone,56945,152,20750,50714,9,5144.474371
Online Behavior>United States>Sports>Water Sports » Surfing,300x250,Sign up Today - 10% Off,"Nashville, Tennessee",ebay.com,Google Ad Manager,Smartphone,23983,0,464,19802,9,4574.34827
US » AUTO » Decision Maker for Auto Purchase » I shared equally in the decision,320x50,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,102884,299,42841,96539,6,2015.448331
US » B2B » B2B Decision Maker Responsibilities » Office Supplies or Equipment,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,Google Ad Manager,Windows PC,55692,184,3596,51209,9,1981.050288
US » Reach » Propensity Models » Hobbies and Interest » Pets » Cat Owners,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,BidSwitch,Apple PC,63460,212,26978,59516,4,1945.433188
OnAudience » Interest » Life Stage,300x250,10% Discount - Ends 6/1,"Tallahassee, Florida-Thomasville, Georgia",ebay.com,Google Ad Manager,Smartphone,189462,478,53431,163634,5,1625.17488
US » Interest Propensities » Activities and Interests » Fashion,300x250,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",ebay.com,PubMatic,Windows PC,61442,190,17048,54166,1,1609.149933
Mobile - US » Travel » Car Rentals » Hertz,320x50,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,BidSwitch,Smartphone,87287,203,40039,80040,18,1579.367346
OnAudience » Interest » Arts & Entertainment » Celebrity Fan » Gossip,300x250,Subscribe Today - 10% Discount,"Los Angeles, California",ebay.com,BidSwitch,Smartphone,77703,204,33478,72874,3,1566.912406
Mobile - US » Device Ownership » Smartphones » ZTE,300x250,10% Discount - Ends 6/1,"Jacksonville, Florida",ebay.com,BidSwitch,Windows PC,74436,175,30158,69150,21,1558.549138
US » Brand Propensities » Health » Beauty and Cosmetics » SkinCareRx Buyer Propensity,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",ebay.com,Yahoo Exchange,Smartphone,435848,1058,274912,415601,15,1554.439959
Mobile - US » Food » Restaurant » Brand » Five Guys,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",ebay.com,BidSwitch,Smartphone,9210,80,3798,8619,2,1536.629068
US » Brand Propensities » Health » Beauty and Cosmetics » Mary Kay Buyer Propensity,320x50,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Magnite DV+,Smartphone,12088,88,1124,10003,2,1500.026152
"US Financial » Estimated Discretionary Spending » Greater than $2,500",320x50,Sign up Now - 10% Off,"Chicago, Illinois",ebay.com,Google Ad Manager,Smartphone,126337,325,51394,117635,5,1487.088288
US » Interest Propensities » Insurance » Northwestern Mutual,300x250,Sign up Today - 10% Off,"Chicago, Illinois",ebay.com,GumGum,Smartphone,229908,489,98259,212073,4,1464.348944
Transactional » Q2 Graduation Gift Shoppers,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,Index Exchange,Smartphone,144088,490,26416,137369,7,1464.064235
OnAudience » Intent » Auto » Vehicle Parts & Accessories,320x50,Subscribe Today - 10% Discount,"Grand Rapids-Kalamazoo, Michigan",ebay.com,BidSwitch,Smartphone,37269,106,11667,33260,6,1453.075462
Lotame » Offline CPG Purchasers » Product Segment » Home Supplies,300x250,Sign up Today - 10% Off,"Los Angeles, California",ebay.com,PubMatic,Smartphone,13326,98,3568,11388,2,1442.032183
Media and Entertainment » Consumer Entertainment Technology,300x250,Sign up Now - 10% Off,"New York City, New York",editorsnation.com,Google Ad Manager,Smartphone,10942,66,4578,9155,3,1595.752624
Online Behavior>United States>Autos and Vehicles » Brands>Cadillac,320x50,Subscribe Today - 10% Discount,"South Bend-Elkhart, Indiana",eenadu.net,Google Ad Manager,Smartphone,14011,40,5060,12459,5,5632.087973
Lotame » Travel » International Travel,300x250,10% Discount - Ends 6/1,"San Francisco, California",eonline.com,Google Ad Manager,Smartphone,13464,84,1698,11234,1,1466.285104
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 35-44,300x250,Sign up Now - 10% Off,"Jacksonville, Florida",espn.com,PubMatic,Smartphone,121991,369,43079,99312,4,3993.214585
Online Behavior>United States>B2B » Occupation>SystemsAnalyst,320x50,Sign up Now - 10% Off,"Chicago, Illinois",espn.com,Google Ad Manager,Smartphone,95289,199,19527,82800,5,3223.535948
OnAudience » Interest » Personal Finance,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",essentiallysports.com,Google Ad Manager,Smartphone,80408,199,13127,67027,9,1788.111618
Mobile - US » Demographics » Education » Lowest Education Achievement,320x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",essentiallysports.com,BidSwitch,Smartphone,82916,199,24951,77333,12,1584.821247
Mobile - US » Food » Restaurant » Brand » Buffalo Wild Wings,300x250,Subscribe Today - 10% Discount,"San Francisco, California",evite.com,Google Ad Manager,Windows PC,16354,40,8061,15667,4,1610.319977
US Interest » Cooking » General,320x50,Sign up Now - 10% Off,"Chicago, Illinois",ew.com,Xandr - Monetize SSP (AppNexus),Smartphone,9920,20,6702,9096,10,1453.11439
Travel and Tourism » Interest (Affinity) » Destinations » Latin America,320x50,10% Discount - Ends 6/1,"Orlando-Daytona Beach, Florida",factable.com,Magnite DV+,Smartphone,31243,100,16326,25991,21,1452.59056
Online Behavior>United States>Intent » Shopping>Consumer Electronics » Video Game Consoles,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",factinate.com,Magnite DV+,Apple PC,39314,100,27671,35488,8,5530.800458
Online Behavior>United States>Intent » Auto Buyers » Category>Motorcycle,320x50,10% Discount - Ends 6/1,"Los Angeles, California",fandom.com,Xandr - Monetize SSP (AppNexus),Smartphone,15252,55,2152,3482,7,6211.200147
US Financial » Credit Card Type » Credit Card Holder - Unknown Type,300x50,10% Discount - Ends 6/1,"Savannah, Georgia",fandom.com,Google Ad Manager,Smartphone,7394,20,3441,6663,1,1624.840774
US » Brand Propensities » Travel » Booking.com Buyer Propensity,320x50,Subscribe Today - 10% Discount,"Miami-Ft. Lauderdale, Florida",fandom.com,Google Ad Manager,Smartphone,22259,120,12405,17609,14,1611.340211
"US Financial » Estimated Disposable Income » $0 - $99,999",300x250,Subscribe Today - 10% Discount,"Peoria-Bloomington, Illinois",fandom.com,OpenX,Windows PC,21143,56,3798,19588,3,1500.41822
Online Behavior>United States>Autos and Vehicles>Boats and Watercraft,320x50,Subscribe Today - 10% Discount,"Chicago, Illinois",fandomwire.com,OpenX,Smartphone,111624,590,40343,101306,21,6510.446656
Online Behavior>United States>Beauty and Fitness>Fitness » Yoga and Pilates,300x250,10% Discount - Ends 6/1,"New York City, New York",fandomwire.com,PubMatic,Windows PC,95644,240,13294,86775,9,5587.763675
US » Reach » Propensity Models » Hobbies and Interest » Sports » Fitness Enthusiasts,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",fandomwire.com,Google Ad Manager,Windows PC,65238,240,23741,59893,15,3132.519209
Online Behavior>United States>News>Technology News,300x50,10% Discount - Ends 6/1,"Miami-Ft. Lauderdale, Florida",femanin.com,BidSwitch,Smartphone,115412,490,71564,81785,21,6861.53638
OnAudience » Interest » Sports,300x250,Sign up Now - 10% Off,"Chicago, Illinois",femanin.com,Google Ad Manager,Smartphone,11375,87,7171,8151,4,1763.784061
Online Behavior>United States>Travel>Air Travel,300x250,Sign up Now - 10% Off,"Chicago, Illinois",finance.yahoo.com,Google Ad Manager,Windows PC,27394,74,16144,24752,78,7264.58761
Online Behavior>United States>Beauty and Fitness>Body Art,320x50,10% Discount - Ends 6/1,"Nashville, Tennessee",finance.yahoo.com,Google Ad Manager,Smartphone,22690,68,10212,19934,19,7210.686506
Online Behavior>United States>Home and Garden>Home Improvement,320x50,10% Discount - Ends 6/1,"New York City, New York",finance.yahoo.com,Magnite DV+,Smartphone,76049,199,34921,69138,8,6942.800458
Online Behavior>United States>News>Business News,320x50,Subscribe Today - 10% Discount,"Knoxville, Tennessee",finance.yahoo.com,OpenX,Smartphone,44505,125,18993,39522,16,6766.475368
Online Behavior>United States>Intent » Auto Buyers » Car Make>Opel,300x250,Subscribe Today - 10% Discount,"New York City, New York",finance.yahoo.com,Google Ad Manager,Smartphone,286998,815,61586,247500,13,6395.550624
Online Behavior>United States>The Changing Consumer>Active Facebook Users,300x250,Sign up Today - 10% Off,"San Francisco, California",finance.yahoo.com,Google Ad Manager,Windows PC,127090,299,30178,113438,24,5808.911254
Online Behavior>United States>Validated Demographic » Gender and Age Combined>Females 65 or older,320x50,Sign up Today - 10% Off,"Chicago, Illinois",finance.yahoo.com,Google Ad Manager,Smartphone,232470,504,40870,195447,36,5401.365085
US » B2B » B2B Decision Maker Responsibilities » Computer Hardware,320x50,10% Discount - Ends 6/1,"San Francisco, California",finance.yahoo.com,Sovrn,Smartphone,51056,120,24672,45563,4,2215.631845
US » Brand Propensities » Media and Entertainment » Regal Cinemas Buyer Propensity,320x50,10% Discount - Ends 6/1,"Jacksonville, Florida",finance.yahoo.com,Google Ad Manager,Smartphone,52582,140,22065,46126,10,1631.741712
US » Premium Entertainment and Pastimes » Premium Magazine Enthusiasts,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",finance.yahoo.com,PubMatic,Smartphone,109567,345,57620,97903,5,1616.714722
Mobile - US » Device Ownership » Smartphones » iOS (Apple) » iPhone X,300x250,Sign up Now - 10% Off,"Orlando-Daytona Beach, Florida",finance.yahoo.com,Taboola,Windows PC,74426,150,39257,67151,15,1519.596552
Mobile - US » Device Ownership » Smartphones » iOS (Apple) » iPhone 11,320x50,10% Discount - Ends 6/1,"New York City, New York",finance.yahoo.com,Google Ad Manager,Smartphone,22163,55,2368,8130,3,1493.779328
Online Behavior>United States>Games>Family-Oriented Games and Activities,300x250,Sign up Now - 10% Off,"Los Angeles, California",findagrave.com,BidSwitch,Windows PC,25021,50,11084,18079,9,4961.478884
Online Behavior>United States>Intent » Shopping>Sports and Outdoors,320x50,Subscribe Today - 10% Discount,"New York City, New York",findagrave.com,Magnite DV+,Smartphone,26304,75,12354,17500,11,4727.813916
US » Reach » Propensity Models » Lifestyle » Loyalty Programs » Loyalty Card User,300x250,Sign up Today - 10% Off,"New York City, New York",findagrave.com,PubMatic,Smartphone,13100,80,6507,10895,5,3411.590029
Online Behavior>United States>Intent » Shopping>Consumer Electronics » Tablets,320x50,Subscribe Today - 10% Discount,"Nashville, Tennessee",finviz.com,Google Ad Manager,Smartphone,9533,66,6548,9042,16,5574.543505
Online Behavior>United States>Intent » Auto Buyers » Car Make>BMW,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",firstcoastnews.com,BidSwitch,Smartphone,12092,30,2042,10315,8,6245.134793
Online Behavior>United States>Travel>Tourist Destinations » Lakes and Rivers,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",flightaware.com,Index Exchange,Smartphone,12710,10,8159,11984,11,7851.397478
Online Behavior>United States>Online Communities>Social Networks,320x50,10% Discount - Ends 6/1,"Chicago, Illinois",flightaware.com,Google Ad Manager,Smartphone,9463,56,1518,8191,4,6879.601707
Online Behavior>United States>Online Communities>Photo and Video Sharing,300x250,Subscribe Today - 10% Discount,"Chicago, Illinois",flightaware.com,PubMatic,Smartphone,12136,97,2089,11500,3,5224.932463
Online Behavior>United States>Internet and Telecom>Mobile and Wireless,320x50,Sign up Now - 10% Off,"Nashville, Tennessee",forbes.com,Google Ad Manager,Smartphone,15326,68,7941,14331,8,6943.515824
Online Behavior>United States>Beauty and Fitness>Fashion and Style » Fashion Modeling,320x50,Sign up Now - 10% Off,"Chicago, Illinois",forbes.com,Google Ad Manager,Smartphone,18095,50,10021,16755,24,6768.758768
Online Behavior>United States>Games>Educational Games,300x50,Sign up Today - 10% Off,"Miami-Ft. Lauderdale, Florida",forbes.com,Google Ad Manager,Smartphone,119280,400,55665,112913,23,6492.676343
Online Behavior>United States>Sports>Motor Sports,320x50,Sign up Now - 10% Off,"South Bend-Elkhart, Indiana",forbes.com,BidSwitch,Smartphone,8204,20,1348,7832,1,5973.379892
Online Behavior>United States>Autos and Vehicles » Brands>BMW,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",forbes.com,TripleLift,Smartphone,88022,370,45972,83922,11,5669.14476
Online Behavior>United States>Food and Drink>Beverages » Bottled Water,320x50,Sign up Now - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,12879,71,7225,12173,9,5099.28249
US » Reach » Sociodemographic » Age » 45-49,300x250,Subscribe Today - 10% Discount,"Nashville, Tennessee",forbes.com,Google Ad Manager,Windows PC,69239,160,23112,65390,1,4514.952724
Real Estate » Sale Activity » Just Sold,320x50,Sign up Now - 10% Off,"Lafayette, Indiana",forbes.com,Google Ad Manager,Smartphone,111884,220,53017,106432,7,1786.105122
US » Sociodemographic » ConneXions Lifestage » F1 Early Adopting Elite,320x50,Sign up Today - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,20899,20,11394,19576,19,1649.459852
OnAudience » Interest » Arts & Entertainment » Television,300x250,10% Discount - Ends 6/1,"Augusta, Georgia",forbes.com,Google Ad Manager,Windows PC,22800,79,8298,21161,24,1620.1655
US Interest » Consumer Electronics,320x50,Sign up Now - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,15441,48,7626,14456,19,1614.309013
US » Interest Propensities » Insurance » Unitedhealth Group,320x50,Sign up Today - 10% Off,"New York City, New York",forbes.com,Google Ad Manager,Smartphone,33069,140,17744,31192,14,1543.310611
US » B2B » B2B Decision Maker Responsibilities » Marketing or Market Research,320x50,Sign up Now - 10% Off,"Jacksonville, Florida",fortune.com,Google Ad Manager,Smartphone,54134,155,37418,51299,4,1502.01775
Online Behavior>United States>Arts and Entertainment>Comics and Animation,300x250,Subscribe Today - 10% Discount,"Knoxville, Tennessee",fox59.com,Google Ad Manager,Smartphone,7583,45,4608,5881,1,5033.482578
US » Interest Propensities » Insurance » Aetna Group,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",foxbusiness.com,Google Ad Manager,Apple PC,12436,84,7055,11497,9,1720.870126
Online Behavior>United States>Finance » Insurance>Insurance,320x50,Sign up Now - 10% Off,"Chicago, Illinois",foxnews.com,Magnite DV+,Smartphone,122086,299,82898,116235,16,7663.695294
Online Behavior>United States>Food and Drink>Beverages » Coffee and Tea,320x50,Subscribe Today - 10% Discount,"Tampa-St Petersburg (Sarasota), Florida",foxnews.com,BidSwitch,Smartphone,63794,200,46557,60868,9,6832.940067
Online Behavior>United States>Intent » Auto Buyers » Car Make>Ford,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",foxnews.com,BidSwitch,Apple PC,29323,88,13822,26934,9,6096.045521
Online Behavior>United States>Autos and Vehicles » Brands>Maserati,320x50,Sign up Today - 10% Off,"Ft. Myers-Naples, Florida",foxnews.com,BidSwitch,Smartphone,38408,101,23557,35247,7,5343.459431
US » Reach » Sociodemographic » Homeowner Status » Renter,320x50,Sign up Today - 10% Off,"Knoxville, Tennessee",foxnews.com,Google Ad Manager,Smartphone,70134,169,48862,66739,14,2514.868116
US » B2B » B2B Decision Maker Responsibilities » HR or Personnel Services,300x250,Sign up Today - 10% Off,"Los Angeles, California",foxnews.com,Google Ad Manager,Windows PC,51889,174,33879,49382,5,2172.841747
US » B2B » B2B Decision Maker Responsibilities » Sales,300x250,Sign up Today - 10% Off,"Tampa-St Petersburg (Sarasota), Florida",foxnews.com,Google Ad Manager,Windows PC,19951,81,10511,18132,15,1801.14885
Mobile - US » Travel » Vacation Rentals » HomeAway,320x50,Sign up Today - 10% Off,"Chattanooga, Tennessee",foxnews.com,Google Ad Manager,Smartphone,91593,40,51004,82985,18,1731.584862
OnAudience » Interest » News » Local News,300x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",foxnews.com,BidSwitch,Smartphone,69722,194,40640,64819,10,1667.655895
OnAudience » Interest » Arts & Entertainment » Music Lovers,300x250,Sign up Today - 10% Off,"West Palm Beach-Ft. Pierce, Florida",foxnews.com,OpenX,Windows PC,76724,187,43209,69530,9,1493.204528
US » Sociodemographic » PRIZM Premier Social » T2 Country Comfort,320x50,Subscribe Today - 10% Discount,"New York City, New York",foxnews.com,PulsePoint,Smartphone,34959,122,17511,31974,5,1477.493357
Online Behavior>United States>Arts and Entertainment>Movies,300x250,10% Discount - Ends 6/1,"Nashville, Tennessee",funnyand.com,Google Ad Manager,Smartphone,9273,70,4648,8751,5,4986.51937
Online Behavior>United States>Intent » Shopping>Consumer Electronics » Cameras and Photography Equip,300x250,Sign up Today - 10% Off,"Chicago, Illinois",gameofglam.com,BidSwitch,Smartphone,11681,88,4713,8230,4,5216.648879
Online Behavior>United States>Intent » Travel>Business Travel,300x250,Sign up Now - 10% Off,"New York City, New York",gamerant.com,Google Ad Manager,Smartphone,17770,70,12771,16749,9,5195.234677
US Home » Dwelling Type » Single-Family,300x250,10% Discount - Ends 6/1,"Chicago, Illinois",gamerant.com,Google Ad Manager,Windows PC,16202,80,11786,15365,2,1570.34276
OnAudience » Interest » Games,320x50,Sign up Now - 10% Off,"Los Angeles, California",gamespot.com,BidSwitch,Smartphone,13779,96,3482,12487,4,1530.041892
US » Response Performance » Direct Marketing Purchasers,300x250,Subscribe Today - 10% Discount,"Champaign & Springfield-Decatur,Illinois",gamingbible.com,Google Ad Manager,Smartphone,13183,100,4337,10596,1,2430.243664
Online Behavior>United States>Autos and Vehicles » Brands>Saab,320x50,10% Discount - Ends 6/1,"Jackson, Mississippi",geeksforgeeks.org,Google Ad Manager,Smartphone,109709,278,3064,15428,20,5409.083955
"Online Behavior>United States>Hobbies and Leisure>Contests, Awards and Prizes",300x250,Subscribe Today - 10% Discount,"Los Angeles, California",geeksforgeeks.org,BidSwitch,Apple PC,120902,333,9964,70015,15,4669.013669
Online Behavior>United States>The Changing Consumer>B2B Work from Home,320x50,10% Discount - Ends 6/1,"New York City, New York",geeksforgeeks.org,BidSwitch,Smartphone,45397,114,716,6867,15,4582.453291
US » Sociodemographic » ConneXions Lifestage » M3 Offline Seniors,320x50,Subscribe Today - 10% Discount,"Jacksonville, Florida",geeksforgeeks.org,Index Exchange,Smartphone,13293,74,9054,12676,5,2901.209509
US » Brand Propensities » Apparel » JCPenney Buyer Propensity,300x250,10% Discount - Ends 6/1,"Los Angeles, California",greatschools.org,BidSwitch,Apple PC,12001,40,7173,11432,2,1659.932713
OnAudience » Interest » News » National News,300x50,Sign up Now - 10% Off,"Los Angeles, California",greedyfinance.com,Google Ad Manager,Smartphone,20537,84,15587,19288,10,1609.880674
US » Reach » Propensity Models » Hobbies and Interest » Sports » Plays Soccer,300x250,Sign up Now - 10% Off,"Savannah, Georgia",health.usnews.com,Google Ad Manager,Smartphone,8730,22,3725,7413,3,3268.007134
Online Behavior>United States>People and Society>Seniors and Retirement,320x50,Sign up Now - 10% Off,"West Palm Beach-Ft. Pierce, Florida",healthline.com,Google Ad Manager,Smartphone,26820,80,13553,21192,12,6745.10344
Media Source,300x250,10% Discount - Ends 6/1,"Los Angeles, California",healthyrecipesblogs.com,Yieldmo,Smartphone,9149,40,4568,8648,4,1758.098365
Mobile - US » Sports » Water Sports » Boating,320x50,10% Discount - Ends 6/1,"New York City, New York",heraldweekly.com,Sharethrough,Smartphone,13655,66,9519,13041,3,1475.245119
